数据编号,槽开口宽度Bs0（mm）,永磁体轴向长度/动子极距            a,气隙厚度gap（mm）,线圈径向宽度rcoil（mm）,永磁体径向长度rpm（mm）,平均推力（N）,推力波动（N）,平均铜损(W),平均铁损(W),,,,,,,平均铜损(mW),平均铁损(mW)
36,0.709952293,0.447213595,1.341640786,1.224744871,-1.463850109,74.56491131,24.1152398,23.01947179,0.721238288,,,,,,,17327.29571,721.2382883
37,-0.141990459,-0.447213595,-1.341640786,1.224744871,0.878310066,108.6107235,42.07401965,24.1026702,0.897419524,,,,,,,19912.69334,897.419524
38,0.283980917,-0.447213595,1.341640786,-1.224744871,-0.878310066,70.38945063,19.73329023,18.01734701,0.827309337,,,,,,,19912.69334,827.3093371
39,0.283980917,-0.447213595,1.341640786,1.224744871,0.292770022,95.30754238,18.16631125,24.31911344,1.028033698,,,,,,,22585.69814,1028.033698
40,0.99393321,-0.447213595,-1.341640786,1.224744871,0.878310066,107.8468107,46.67844419,24.1026702,0.941022597,,,,,,,22585.69814,941.0225973
41,0.99393321,1.341640786,1.341640786,1.224744871,0.292770022,100.8647725,50.02860703,24.31911344,0.692702712,,,,,,,17499.87165,692.702712
42,0.283980917,-0.447213595,-1.341640786,-1.224744871,1.463850109,98.00535354,40.70704208,18.87903457,0.624219655,,,,,,,17499.87165,624.219655
43,0.283980917,0.447213595,1.341640786,-1.224744871,-0.878310066,73.58526379,28.43588188,18.01734701,0.783203841,,,,,,,20107.36863,783.2038406
44,0.709952293,0.447213595,-1.341640786,1.224744871,0.292770022,113.8400135,69.13101565,23.66959277,0.708742571,,,,,,,20107.36863,708.7425705
45,0.99393321,-0.447213595,1.341640786,-1.224744871,0.878310066,88.51086227,21.96752655,19.05126592,0.885244804,,,,,,,22802.62232,885.2448036
46,0.99393321,1.341640786,-1.341640786,1.224744871,0.292770022,105.6678879,72.83361472,23.66959277,0.801957914,,,,,,,22802.62232,801.9579137
47,-0.141990459,1.341640786,-1.341640786,-1.224744871,-0.878310066,74.59967474,43.1842575,17.49987165,0.626392331,,,,,,,17672.40468,626.3923313
48,-0.141990459,1.341640786,-1.341640786,-1.224744871,0.878310066,95.06322219,72.47290823,18.53446871,0.555119053,,,,,,,17672.40468,555.1190529
49,0.283980917,0.447213595,1.341640786,1.224744871,0.878310066,109.4208486,42.46974737,24.75181749,0.702199847,,,,,,,20301.98629,702.1998474
50,0.283980917,1.341640786,1.341640786,-1.224744871,-0.292770022,75.80346945,37.58521976,18.36213224,0.622242662,,,,,,,20301.98629,622.2426615
51,0.99393321,1.341640786,1.341640786,-1.224744871,-1.463850109,63.74889544,21.2231063,17.67240468,0.79008197,,,,,,,23019.47179,790.0819704
52,0.283980917,0.447213595,-1.341640786,1.224744871,-0.292770022,94.0953473,63.73518231,23.23624866,0.702678667,,,,,,,23019.47179,702.6786666
53,0.709952293,-0.447213595,1.341640786,-1.224744871,-0.878310066,73.14161614,23.26397326,18.01734701,1.017893419,,,,,,,17499.87165,1017.893419
54,0.99393321,1.341640786,-1.341640786,1.224744871,-0.292770022,95.25486065,61.34160631,23.23624866,0.960032562,,,,,,,17499.87165,960.032562
55,0.99393321,1.341640786,-1.341640786,1.224744871,0.878310066,113.8398906,90.47761148,24.1026702,1.154133154,,,,,,,20107.36863,1154.133154
56,-0.141990459,-0.447213595,1.341640786,-1.224744871,0.878310066,85.79466904,14.36283286,19.05126592,1.099586208,,,,,,,20107.36863,1099.586208
57,-0.141990459,1.341640786,1.341640786,-1.224744871,-0.292770022,73.21789961,34.4510064,18.36213224,1.323121918,,,,,,,22802.62232,1323.121918
58,-0.141990459,-0.447213595,1.341640786,1.224744871,0.878310066,103.2403643,34.0380353,24.75181749,1.235353216,,,,,,,22802.62232,1235.353216
59,0.99393321,0.447213595,1.341640786,-1.224744871,-1.463850109,67.07644059,27.5578042,17.67240468,0.856709765,,,,,,,17672.40468,856.7097646
60,0.709952293,-0.447213595,-1.341640786,1.224744871,-1.463850109,82.74991887,52.34242242,22.368697,0.800057487,,,,,,,17672.40468,800.0574869
61,0.709952293,-0.447213595,-1.341640786,1.224744871,0.292770022,113.954279,46.21506788,23.66959277,0.973851484,,,,,,,20301.98629,973.8514842
62,0.99393321,-0.447213595,-1.341640786,-1.224744871,-0.878310066,73.45002274,41.953045,17.49987165,0.897950342,,,,,,,20301.98629,897.9503418
63,0.709952293,1.341640786,-1.341640786,1.224744871,1.463850109,133.8465901,108.1427852,24.53549533,1.101386532,,,,,,,23019.47179,1101.386532
64,0.709952293,1.341640786,-1.341640786,1.224744871,-1.463850109,89.17366827,48.68481886,22.368697,1.018874199,,,,,,,23019.47179,1018.874199
65,0.709952293,0.447213595,-1.341640786,1.224744871,1.463850109,126.8846064,96.15780584,24.53549533,0.760769802,,,,,,,17844.89606,760.7698017
66,-0.141990459,1.341640786,-1.341640786,-1.224744871,-0.292770022,82.74192825,56.39078087,17.84489606,0.698138088,,,,,,,17844.89606,698.1380884
67,-0.141990459,-0.447213595,-1.341640786,1.224744871,-1.463850109,82.86346768,38.35763347,22.368697,0.856387448,,,,,,,20496.548,856.3874475
68,-0.141990459,-0.447213595,-1.341640786,-1.224744871,1.463850109,100.2096086,36.83873925,18.87903457,0.784443321,,,,,,,20496.548,784.4433212
69,0.709952293,1.341640786,-1.341640786,-1.224744871,0.292770022,93.52978052,58.9824726,18.1897587,0.948089043,,,,,,,23236.24866,948.0890427
70,0.709952293,1.341640786,-1.341640786,1.224744871,0.878310066,126.190195,97.91595271,24.1026702,0.872432332,,,,,,,23236.24866,872.4323316
71,0.99393321,0.447213595,-1.341640786,-1.224744871,0.878310066,90.58770311,49.19954407,18.53446871,0.686825166,,,,,,,18017.34701,686.8251658
72,0.709952293,1.341640786,-1.341640786,-1.224744871,-0.292770022,89.34431049,59.88299976,17.84489606,0.622378356,,,,,,,18017.34701,622.3783556
73,0.99393321,0.447213595,-1.341640786,-1.224744871,0.292770022,94.98037256,60.56283167,18.1897587,0.764477851,,,,,,,20691.05537,764.4778512
74,-0.141990459,0.447213595,-1.341640786,-1.224744871,-0.878310066,82.60173661,48.7658691,17.49987165,0.691061351,,,,,,,20691.05537,691.0613508
